fqdn,ip,prefix,asn,asn_description,country,registrar,last_update_asn,last_update_asn_desc,subject_dn,issuer_dn,common_names,san_dns_names,not_valid_before,not_valid_after
antiddos.kpn.com,195.121.64.5,195.121.64.0/18,8737,"PT, NL",NL,ripencc,1999-01-11,1998-03-31,"CN=antiddos.kpn.com,ST=Zuid-Holland,O=Koninklijke KPN N.V.,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",antiddos.kpn.com,"antiddos2.kpn.com,antiddos.kpn.com",2022-11-15T16:55:24,2023-11-15T16:55:24
api.kpn-dsh.com,35.156.37.241,35.156.0.0/14,16509,"AMAZON-02, US",US,arin,2016-08-09,2000-05-04,"CN=api.kpn-dsh.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",api.kpn-dsh.com,api.kpn-dsh.com,2022-11-15T04:34:34,2023-11-15T04:34:34
api.poc.kpn-dsh.com,35.158.54.73,35.156.0.0/14,16509,"AMAZON-02, US",US,arin,2016-08-09,2000-05-04,"CN=api.poc.kpn-dsh.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",api.poc.kpn-dsh.com,api.poc.kpn-dsh.com,2022-11-16T01:34:27,2023-11-16T01:34:27
api.rvp-azure-dsh.kpn-dsh.com,FAILURE,,,,,,,,,,,,,
api.rvp.kpn-dsh.com,18.194.246.27,18.194.0.0/15,16509,"AMAZON-02, US",US,arin,2019-10-07,2000-05-04,"CN=api.rvp.kpn-dsh.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",api.rvp.kpn-dsh.com,api.rvp.kpn-dsh.com,2022-11-23T16:14:38,2023-11-23T16:14:38
apps.kpnnetwerk.nl,145.128.12.131,145.128.0.0/20,59524,"KPN-IAAS, NL",NL,ripencc,1993-09-01,2012-08-01,"CN=apps.kpnnetwerk.nl,O=Koninklijke KPN N.V.,L=Rotterdam,ST=Zuid-Holland,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",apps.kpnnetwerk.nl,apps.kpnnetwerk.nl,2022-11-01T15:54:36,2023-11-01T15:54:36
apps.ota-dpo.nl,87.213.100.182,87.213.0.0/16,13127,"T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL",NL,ripencc,2005-06-02,2000-03-27,"CN=apps.ota-dpo.nl,O=Defensie Pijpleiding Organisatie,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",apps.ota-dpo.nl,apps.ota-dpo.nl,2022-11-23T11:01:43,2023-12-01T23:45:00
auth.hinq.nl,87.233.137.51,87.233.128.0/18,15703,"TRUESERVER-AS TrueServer BV AS number, NL",NL,ripencc,2005-07-07,2000-09-19,"CN=app.hinq.nl,O=HINQ,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",app.hinq.nl,"app.hinq.nl,pkio.hinq.nl,auth.hinq.nl",2022-07-27T09:45:29,2023-07-27T09:45:29
auth.rvp-azure-dsh.kpn-dsh.com,FAILURE,,,,,,,,,,,,,
bdrc-front.hanafn.nl,185.254.41.99,185.254.41.0/24,57795,"NGNETWORKS, NL",NL,ripencc,2018-04-06,2012-02-10,,,,,,
broker-staging.mozardsaas.nl,206.189.242.201,206.189.240.0/22,14061,"DIGITALOCEAN-ASN, US",US,arin,1995-11-15,2012-09-25,,,,,,
bromonitor.nl,147.181.12.252,147.181.12.0/22,202553,"DUO-NL-AS, NL",NL,ripencc,1991-07-05,2016-07-26,"CN=bromonitor.nl,O=Stichting ICTU,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",bromonitor.nl,"bromonitor.nl,www.bromonitor.nl,acc.bromonitor.nl",2022-11-22T09:23:49,2023-11-22T09:18:00
cloudtunnel.rud-zeeland.nl,37.247.33.183,37.247.32.0/20,25459,"NEDZONE-AS, NL",NL,ripencc,2012-04-17,2002-11-29,,,,,,
cloudtunnel.terneuzen.nl,213.34.225.121,213.34.224.0/19,15542,"ZEELANDNET DELTA Fiber Nederland, NL",NL,ripencc,1999-09-16,2000-07-31,,,,,,
cms.digid.nl,93.92.103.96,93.92.100.0/22,24586,"NL-INTERMAX Intermax Cloudsourcing B.V., NL",NL,ripencc,2008-01-29,2002-01-09,,,,,,
connect.ctgb.nl,131.224.0.105,131.224.0.0/16,1103,"SURFNET-NL SURFnet, The Netherlands, NL",NL,ripencc,1989-01-23,1993-09-01,"CN=connect.ctgb.nl,O=College voor toelating van gewasbeschermingsmiddelen en biociden,ST=Gelderland,C=NL","CN=Sectigo RSA Organization Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",connect.ctgb.nl,"connect.ctgb.nl,www.connect.ctgb.nl",2022-11-25T00:00:00,2023-11-25T23:59:59
connect-with.horizoncollege.nl,83.96.205.231,83.96.204.0/22,35470,"XL-AS, NL",NL,ripencc,2003-12-18,2006-11-29,"CN=connect-with.horizoncollege.nl,O=Stichting R.O.C. Noord-Kennemerland/West Friesland,L=Alkmaar,ST=Noord-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",connect-with.horizoncollege.nl,connect-with.horizoncollege.nl,2022-11-21T14:12:50,2023-11-21T14:07:00
connect-with.novacollege.nl,83.96.205.231,83.96.128.0/17,21155,"ASN-PROSERVE Amsterdam, NL",NL,ripencc,2003-12-18,2001-09-11,"CN=connect-with.novacollege.nl,O=Regionaal Opleidingen Centrum Nova College,L=Haarlem,ST=Noord-Holland,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",connect-with.novacollege.nl,connect-with.novacollege.nl,2022-11-21T10:02:45,2023-11-21T10:02:45
connect-with.rocmn.nl,83.96.205.231,83.96.128.0/17,21155,"ASN-PROSERVE Amsterdam, NL",NL,ripencc,2003-12-18,2001-09-11,"CN=connect-with.rocmn.nl,O=Regionaal Opleidingen Centrum Midden Nederland,L=Utrecht,ST=Utrecht,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",connect-with.rocmn.nl,connect-with.rocmn.nl,2022-11-14T10:06:35,2023-11-14T10:06:35
console.dsh-dev.dsh.np.aws.kpn.com,34.243.239.247,34.240.0.0/13,16509,"AMAZON-02, US",US,arin,2016-09-12,2000-05-04,"CN=console.dsh-dev.dsh.np.aws.kpn.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",console.dsh-dev.dsh.np.aws.kpn.com,console.dsh-dev.dsh.np.aws.kpn.com,2022-11-07T14:36:07,2023-11-07T14:36:07
console.kpn-dsh.com,35.156.37.241,35.156.0.0/14,16509,"AMAZON-02, US",US,arin,2016-08-09,2000-05-04,"CN=console.kpn-dsh.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",console.kpn-dsh.com,console.kpn-dsh.com,2022-11-15T04:16:04,2023-11-15T04:16:04
console.poc.kpn-dsh.com,35.158.54.73,35.156.0.0/14,16509,"AMAZON-02, US",US,arin,2016-08-09,2000-05-04,"CN=console.poc.kpn-dsh.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",console.poc.kpn-dsh.com,console.poc.kpn-dsh.com,2022-11-15T04:34:34,2023-11-15T04:34:34
console.rvp-azure-dsh.kpn-dsh.com,FAILURE,,,,,,,,,,,,,
console.rvp.kpn-dsh.com,18.194.246.27,18.194.0.0/15,16509,"AMAZON-02, US",US,arin,2019-10-07,2000-05-04,"CN=console.rvp.kpn-dsh.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",console.rvp.kpn-dsh.com,console.rvp.kpn-dsh.com,2022-11-24T15:14:23,2023-11-24T15:14:23
coronarekening.rekenkamer.nl,147.181.11.67,147.181.8.0/22,202553,"DUO-NL-AS, NL",NL,ripencc,1991-07-05,2016-07-26,"CN=coronarekening.rekenkamer.nl,O=Algemene Rekenkamer,L=Den Haag,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",coronarekening.rekenkamer.nl,coronarekening.rekenkamer.nl,2022-06-21T12:04:18,2023-06-21T12:08:00
dcypher.nl,147.181.6.247,147.181.4.0/22,202553,"DUO-NL-AS, NL",NL,ripencc,1991-07-05,2016-07-26,"CN=dcypher.nl,O=Rijksdienst voor Ondernemend Nederland,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",dcypher.nl,"dcypher.nl,www.dcypher.nl",2022-10-13T05:38:10,2023-10-13T05:33:00
deelnemersportaal.mijnkoopvaardij.nl,212.159.226.167,212.159.224.0/19,29063,"ATOS-NL-AS Eindhoven, NL",NL,ripencc,2000-08-03,2003-05-22,"CN=deelnemersportaal.mijnkoopvaardij.nl,O=Stichting Bedrijfspensioenfonds voor de Koopvaardij,L=Hoofddorp,ST=Noord-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",deelnemersportaal.mijnkoopvaardij.nl,deelnemersportaal.mijnkoopvaardij.nl,2022-11-03T11:36:11,2023-11-03T11:31:00
deelnemersportaal-mijnkoopvaardij-nl-a.mn-services.nl,FAILURE,,,,,,,,,,,,,
deelnemersportaal.mijnpmt.nl,212.159.226.167,212.159.224.0/19,29063,"ATOS-NL-AS Eindhoven, NL",NL,ripencc,2000-08-03,2003-05-22,"CN=deelnemersportaal.mijnpmt.nl,O=Stichting Pensioenfonds Metaal en Techniek,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",deelnemersportaal.mijnpmt.nl,deelnemersportaal.mijnpmt.nl,2022-11-03T12:04:37,2023-11-03T11:59:00
deelnemersportaal-mijnpmt-nl-a.mn-services.nl,FAILURE,,,,,,,,,,,,,
demo-geoservices.rijkswaterstaat.nl,145.45.0.41,145.45.0.0/17,42894,"MINVENW-RWS MinVenW-Rijkswaterstaat Backbone, NL",NL,ripencc,1992-01-01,2007-05-08,"CN=demo-geoservices.rijkswaterstaat.nl,O=Rijkswaterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",demo-geoservices.rijkswaterstaat.nl,"demo-geoservices.rijkswaterstaat.nl,demo-geoservices.rws.nl,www.demo-geoservices.rws.nl,www.demo-geoservices.rijkswaterstaat.nl",2022-11-07T13:54:25,2023-11-07T13:49:00
dgp2.procesinfrastructuur.nl,144.43.253.17,144.43.252.0/22,212157,"LOGIUS-AZ-1, NL",NL,ripencc,1993-09-01,2020-12-15,,,,,,
digiloc.kpn.com,195.121.120.237,195.121.0.0/17,8737,"PT, NL",NL,ripencc,1999-01-11,1998-03-31,"CN=digiloc.kpn.com,O=Koninklijke KPN N.V.,L=Rotterdam,ST=Zuid-Holland,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",digiloc.kpn.com,digiloc.kpn.com,2022-11-23T17:38:48,2023-11-23T17:38:48
dji-mipost.ssc-i.nl,159.46.197.172,159.46.196.0/22,29311,"SOLVINITY-, NL",NL,ripencc,1993-09-01,2003-07-29,,,,,,
dji-mitunnel.ssc-i.nl,159.46.197.173,159.46.196.0/22,29311,"SOLVINITY-, NL",NL,ripencc,1993-09-01,2003-07-29,,,,,,
dji-miwork.ssc-i.nl,159.46.197.134,159.46.196.0/22,29311,"SOLVINITY-, NL",NL,ripencc,1993-09-01,2003-07-29,,,,,,
dloket.oostgelre.nl,87.249.120.87,87.249.96.0/19,47886,"EQUINIX-NL-ASN, NL",NL,ripencc,2005-08-26,2008-09-11,"CN=dloket.oostgelre.nl,O=Gemeente Oost Gelre,ST=Gelderland,C=NL,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL,2.5.4.5=09212525","CN=Sectigo RSA Extended Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",dloket.oostgelre.nl,dloket.oostgelre.nl,2022-11-10T00:00:00,2023-11-10T23:59:59
dms-prod.app.ns.nl,145.15.208.150,145.15.208.0/21,1136,"KPN KPN National, NL",NL,ripencc,1993-09-01,1993-09-01,"CN=dms-prod.app.ns.nl,O=N.V. Nederlandse Spoorwegen,L=Utrecht,ST=Utrecht,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",dms-prod.app.ns.nl,"dms.nsstations.nl,dms-prod.app.ns.nl",2022-11-17T10:18:30,2023-11-17T10:18:30
docs.dsh-dev.dsh.np.aws.kpn.com,34.243.239.247,34.240.0.0/13,16509,"AMAZON-02, US",US,arin,2016-09-12,2000-05-04,"CN=docs.dsh-dev.dsh.np.aws.kpn.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",docs.dsh-dev.dsh.np.aws.kpn.com,docs.dsh-dev.dsh.np.aws.kpn.com,2022-10-28T07:21:41,2023-10-28T07:21:41
docs.ndw.nu,104.40.215.219,104.40.0.0/13,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,arin,2014-05-07,1997-03-31,"CN=docs.ndw.nu,O=Ministerie van Infrastructuur en Waterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",docs.ndw.nu,"docs.ndw.nu,www.docs.ndw.nu",2022-11-14T10:42:47,2023-11-14T10:37:00
dp2021.deltaprogramma.nl,46.182.180.88,46.182.180.0/23,12859,"NL-BIT BIT BV, NL",NL,ripencc,2010-11-26,1999-12-15,"CN=dp2021.deltaprogramma.nl,O=Ministerie van Infrastructuur en Waterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",dp2021.deltaprogramma.nl,dp2021.deltaprogramma.nl,2022-09-14T07:16:01,2023-09-14T23:45:00
dronten.nl,87.233.198.3,87.233.192.0/18,15703,"TRUESERVER-AS TrueServer BV AS number, NL",NL,ripencc,2005-07-07,2000-09-19,"CN=www.dronten.nl,O=Gemeente Dronten,L=Dronten,ST=Flevoland,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",www.dronten.nl,"openpub.dronten.nl,www.dronten.nl,openpdc.dronten.nl,dronten.nl",2022-11-08T15:38:36,2023-11-08T15:38:36
eolf.octrooicentrum.nl,145.12.218.17,145.12.0.0/16,203396,"MINEZ-DICTU, NL",NL,ripencc,1993-09-01,2016-01-27,,,,,,
esp.mfaservices.nl,20.50.239.148,20.48.0.0/12,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,arin,2017-10-18,1997-03-31,"CN=esp.mfaservices.nl,O=Ministerie van Buitenlandse Zaken,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",esp.mfaservices.nl,esp.mfaservices.nl,2022-11-11T08:38:54,2023-09-12T23:45:00
facturen.ubrijk.nl,85.222.225.133,85.222.224.0/22,35470,"XL-AS, NL",NL,ripencc,2005-03-22,2006-11-29,"CN=facturen.ubrijk.nl,O=Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=50200097,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL","CN=QuoVadis Europe EV SSL CA G1,O=QuoVadis Trustlink B.V.,C=NL",facturen.ubrijk.nl,facturen.ubrijk.nl,2022-06-03T06:23:43,2023-06-03T06:33:00
filesender.ctgb.nl,37.235.115.35,37.235.112.0/21,35332,"DATAWEB DataWeb B.V. - The Netherlands, NL",NL,ripencc,2012-04-17,2005-07-18,"CN=filesender.ctgb.nl,O=College voor toelating van gewasbeschermingsmiddelen en biociden,ST=Gelderland,C=NL","CN=Sectigo RSA Organization Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",filesender.ctgb.nl,"filesender.ctgb.nl,www.filesender.ctgb.nl",2022-11-25T00:00:00,2023-11-25T23:59:59
gateway-tst.edsn.nl,3.124.199.61,3.124.0.0/14,16509,"AMAZON-02, US",US,arin,2017-12-20,2000-05-04,"CN=gateway-tst.edsn.nl,O=Energie Data Services Nederland (EDSN) B.V.,L=Amersfoort,ST=Utrecht,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",gateway-tst.edsn.nl,gateway-tst.edsn.nl,2022-08-23T14:53:40,2023-08-23T14:53:40
geo.roermond.nl,212.178.155.113,212.178.128.0/19,33915,"TNF-AS, NL",NL,ripencc,1999-06-23,2004-09-06,"C=NL,ST=Limburg,L=Roermond,O=Gemeente Roermond,CN=geo.roermond.nl","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",geo.roermond.nl,geo.roermond.nl,2022-11-22T07:14:23,2023-11-22T07:14:23
geoweb.rijkswaterstaat.nl,131.237.78.225,131.237.78.0/24,42894,"MINVENW-RWS MinVenW-Rijkswaterstaat Backbone, NL",NL,ripencc,1992-01-01,2007-05-08,"CN=geoweb.rijkswaterstaat.nl,O=Rijkswaterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",geoweb.rijkswaterstaat.nl,"geoweb.rijkswaterstaat.nl,geoweb.rws.nl,www.geoweb.rijkswaterstaat.nl,www.geoweb.rws.nl",2022-11-07T13:54:03,2023-11-07T13:49:00
globe-portaal-internet.procesinfrastructuur.nl,144.43.241.243,144.43.240.0/21,212157,"LOGIUS-AZ-1, NL",NL,ripencc,1993-09-01,2020-12-15,,,,,,
iburgerzaken.eemsdelta.nl,45.80.232.26,45.80.232.0/22,15879,"KPN-INTERNEDSERVICES KPN Internedservices, NL",NL,ripencc,2019-05-16,2000-10-26,"CN=iburgerzaken.eemsdelta.nl,O=Gemeente Eemsdelta,STREET=Wilhelminaweg 14,L=Appingedam,ST=Groningen,C=NL,1.3.6.1.4.1.311.60.2.1.3=NL,2.5.4.5=81425570,2.5.4.15=Government Entity","CN=GlobalSign Extended Validation CA - SHA256 - G3,O=GlobalSign nv-sa,C=BE",iburgerzaken.eemsdelta.nl,iburgerzaken.eemsdelta.nl,2022-11-23T13:23:15,2023-12-25T13:23:14
ibzpink.eemsdelta.nl,45.80.232.23,45.80.232.0/22,15879,"KPN-INTERNEDSERVICES KPN Internedservices, NL",NL,ripencc,2019-05-16,2000-10-26,"CN=ibzpink.eemsdelta.nl,O=Gemeente Eemsdelta,STREET=Wilhelminaweg 14,L=Appingedam,ST=Groningen,C=NL,1.3.6.1.4.1.311.60.2.1.3=NL,2.5.4.5=81425570,2.5.4.15=Government Entity","CN=GlobalSign Extended Validation CA - SHA256 - G3,O=GlobalSign nv-sa,C=BE",ibzpink.eemsdelta.nl,ibzpink.eemsdelta.nl,2022-11-23T13:40:23,2023-12-25T13:40:22
idp.kvk.nl,176.117.57.39,176.117.57.0/24,13127,"T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL",NL,ripencc,2012-05-15,2000-03-27,"CN=idp.kvk.nl,O=Kamer van Koophandel,L=Utrecht,ST=Utrecht,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",idp.kvk.nl,idp.kvk.nl,2022-11-09T09:47:54,2023-11-09T09:42:00
id.railov.nl,84.246.21.86,84.246.0.0/18,28685,"ASN-ROUTIT, NL",NL,ripencc,2004-08-04,2003-01-29,"CN=id.railov.nl,O=Stichting Pensioenfonds Rail & Openbaar Vervoer,L=Utrecht,ST=Utrecht,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",id.railov.nl,id.railov.nl,2022-11-21T13:47:27,2023-11-21T13:47:27
idtst.railov.nl,46.44.134.119,46.44.128.0/18,28685,"ASN-ROUTIT, NL",NL,ripencc,2010-08-27,2003-01-29,"CN=idtst.railov.nl,O=Stichting Pensioenfonds Rail & Openbaar Vervoer,L=Utrecht,ST=Utrecht,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",idtst.railov.nl,idtst.railov.nl,2022-11-21T13:47:28,2023-11-21T13:47:28
iene-prd.topdesk.odc-noord.nl,147.181.15.142,147.181.12.0/22,202553,"DUO-NL-AS, NL",NL,ripencc,1991-07-05,2016-07-26,"CN=iene-prd.topdesk.odc-noord.nl,O=Dienst Uitvoering Onderwijs,L=Groningen,ST=Groningen,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",iene-prd.topdesk.odc-noord.nl,iene-prd.topdesk.odc-noord.nl,2022-11-22T10:06:48,2023-11-22T10:01:00
inlog-kvdportaal-nl-a.mn-services.nl,212.159.226.169,212.159.224.0/19,29063,"ATOS-NL-AS Eindhoven, NL",NL,ripencc,2000-08-03,2003-05-22,"CN=inlog-kvdportaal-nl-a.mn-services.nl,O=Mn Services N.V.,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",inlog-kvdportaal-nl-a.mn-services.nl,inlog-kvdportaal-nl-a.mn-services.nl,2022-10-25T06:27:48,2023-10-25T06:22:00
inlog-werkgeversportalen-nl-a.mn-services.nl,212.159.226.169,212.159.224.0/19,29063,"ATOS-NL-AS Eindhoven, NL",NL,ripencc,2000-08-03,2003-05-22,"CN=inlog-werkgeversportalen-nl-a.mn-services.nl,O=Mn Services N.V.,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",inlog-werkgeversportalen-nl-a.mn-services.nl,inlog-werkgeversportalen-nl-a.mn-services.nl,2022-10-25T06:28:17,2023-10-25T06:23:00
